m_lastLapTime,m_currentLapTime,m_bestLapTime,m_sector1Time,m_sector2Time,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_sector,m_currentLapInvalid,m_penalties,m_gridPosition,m_driverStatus
69.43756103515625,26.92679786682129,67.50927734375,16.962158203125,0,1673.890625,40585.265625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.041332244873047,67.50927734375,16.962158203125,0,1682.03125,40593.40625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.13669776916504,67.50927734375,16.962158203125,0,1688.83984375,40600.21484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.231626510620117,67.50927734375,16.962158203125,0,1695.7890625,40607.1640625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.34592628479004,67.50927734375,16.962158203125,0,1704.0703125,40615.4453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.44034194946289,67.50927734375,16.962158203125,0,1711,40622.375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.535293579101562,67.50927734375,16.962158203125,0,1718.05859375,40629.43359375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.65230941772461,67.50927734375,16.962158203125,0,1726.72265625,40638.09765625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.746747970581055,67.50927734375,16.962158203125,0,1733.76953125,40645.14453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.861011505126953,67.50927734375,16.962158203125,0,1742.33984375,40653.71484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,27.954898834228516,67.50927734375,16.962158203125,0,1749.4453125,40660.8203125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.068708419799805,67.50927734375,16.962158203125,0,1758.09375,40669.46875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.181859970092773,67.50927734375,16.962158203125,0,1766.765625,40678.140625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.27643585205078,67.50927734375,16.962158203125,0,1774.05859375,40685.43359375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.39345359802246,67.50927734375,16.962158203125,0,1783.10546875,40694.48046875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.48562240600586,67.50927734375,16.962158203125,0,1790.26953125,40701.64453125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.59964370727539,67.50927734375,16.962158203125,0,1799.17578125,40710.55078125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.694665908813477,67.50927734375,16.962158203125,0,1806.7109375,40718.0859375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.810253143310547,67.50927734375,16.962158203125,0,1815.7421875,40727.1171875,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.904020309448242,67.50927734375,16.962158203125,0,1823.1875,40734.5625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,28.998451232910156,67.50927734375,16.962158203125,0,1830.7734375,40742.1484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.11328887939453,67.50927734375,16.962158203125,0,1839.87890625,40751.25390625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.224882125854492,67.50927734375,16.962158203125,0,1848.83203125,40760.20703125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.318923950195312,67.50927734375,16.962158203125,0,1856.39453125,40767.76953125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.432525634765625,67.50927734375,16.962158203125,0,1865.58984375,40776.96484375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.525972366333008,67.50927734375,16.962158203125,0,1873.1484375,40784.5234375,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.61843490600586,67.50927734375,16.962158203125,0,1880.69140625,40792.06640625,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.731843948364258,67.50927734375,16.962158203125,0,1889.95703125,40801.33203125,0,1,10,0,1,0,0,19,1,2
69.43756103515625,29.842470169067383,67.50927734375,16.962158203125,0,1899.02734375,40810.40234375,0,1,10,0,1,0,0,19,1,2
